Cell_types,Trans_efficiency_class,Transfection_efficiency,Particle_size,Zeta_potential,Functional_modification,Simuli_response,tumor_cell,immune_cell,other_cell,catagory_1,catagory_2,catagory_3,catagory_4
HeLa cells (tumor cell),1,0.2,12,50,0,0,1,0,0,0,1,0,0
NIH 3T3-GFP cells (other cell),3,0.7,74.5,13.8,0,0,0,0,1,0,1,0,0
GBM 319 cells (tumor cell),3,0.92,118,20.6,0,0,1,0,0,0,1,0,0
BHK-21 cells (other cell),1,0.04,364.3,-18,0,0,0,0,1,1,0,0,0
MCF-7 cells (tumor cell),3,0.67,150,46.1,0,0,1,0,0,1,0,0,0
HepG2 cells (tumor cell),3,0.6,208.2,27.1,1,0,1,0,0,0,1,0,0
BHK cells (other cell),2,0.45,126,26.5,0,0,0,0,1,0,1,0,0
HeLa-Luc cells (tumor cell),3,0.72,119,-1.5,0,0,1,0,0,1,0,0,0
HepG 2 cells (tumor cell),3,0.8,115,25,0,0,1,0,0,0,1,0,0
L929 cells (other cell),1,0,112,18,0,0,0,0,1,0,1,0,0
HepG2 cells (tumor cell),2,0.58,600,20.04,0,0,1,0,0,1,0,0,0
HeLa-Luc cells (tumor cell),3,0.78,124.3,-1.5,0,0,1,0,0,1,0,0,0
 HeLa cells (tumor cell),2,0.55,80.6,10,0,0,1,0,0,0,1,0,0
A549-GFP cells (tumor cell),3,0.95,213,17.7,0,0,1,0,0,0,0,0,1
Neuro-2A-Luc cells (tumor cell),1,0,74.8,30.8,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cell),1,0,507,17.2,1,0,1,0,0,0,0,1,0
PC3 cells (tumor cell),3,0.9,125,31,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cell),3,0.82,50,19,1,0,1,0,0,0,1,0,0
HepG 2 cells (tumor cell),3,0.85,265,26,0,0,1,0,0,0,1,0,0
B16F10.Luc cells (tumor cell),3,0.75,145,50,0,0,1,0,0,0,1,0,0
MDA-MB-231 cells (tumor cell),3,0.77,14.8,17,1,0,1,0,0,0,0,1,0
L929 cells (other cell),2,0.47,160,6,0,1,0,0,1,0,1,0,0
HeLa-Luc cells (tumor cell),3,0.75,130,7.5,0,0,1,0,0,1,0,0,0
CT26 cells (tumor cells),3,0.66,180,30,0,1,1,0,0,0,1,0,0
human skin explants (other cell),1,0.3,50,30,0,0,0,0,1,0,1,0,0
3T3 cells (other cell),1,0.2,201,4.2,0,0,0,0,1,0,1,0,0
 HeLa-Luc cells (tumor cell),3,0.8,148,10,0,0,1,0,0,0,0,1,0
CD172a+ blood cells (other cell),2,0.43,400,-60,0,0,0,0,1,0,1,0,0
BMDCs (immune cell),3,0.7,150,45,0,0,0,1,0,0,1,0,0
hepatocytes (other cell),3,0.6,8.2,-1.56,0,0,0,0,1,0,0,1,0
DC2.4 cells (immune cell),1,0.35,117.77,26.48,0,0,0,1,0,0,1,0,0
human skin explants (other cell),1,0.26,125,28,0,0,0,0,1,0,1,0,0
CHO cells (other cell),2,0.46,188,11.1,0,0,0,0,1,1,0,0,0
HepG2 cells (tumor cell),2,0.45,200,-15.34,0,0,1,0,0,1,0,0,0
BHK-21 cells (other cell),1,0.06,901.7,43.5,0,0,0,0,1,1,0,0,0
HepG2 cells (tumor cell),3,0.6,100,-19.5,0,0,1,0,0,1,0,0,0
293T-GFP cells (other cell),1,0.22,170,28,0,0,0,0,1,1,0,0,0
Neuro-2A-Luc cells (tumor cell),1,0.15,70.1,48.3,0,0,1,0,0,0,1,0,0
mGFP5 Nb plant leaves cells (other cell),3,0.77,27.69,36.67,1,0,0,0,1,0,0,0,1
22Rv1-Luc cells (tumor cell),1,0.35,125,26.5,0,0,1,0,0,0,1,0,0
293Td2GFP cells (other cell),1,0.2,420,12,0,0,0,0,1,0,0,1,0
HeLa-Luc cells (tumor cell),1,0.05,173,-1.14,0,1,1,0,0,1,0,0,0
Hela-GFP cells (tumor cell),2,0.55,220,38,0,0,1,0,0,1,0,0,0
U266 cells (tumor cell),3,0.89,50,2.5,0,0,1,0,0,1,0,0,0
KB cells (tumor cell),1,0.25,229,18,0,0,1,0,0,1,0,0,0
 NIH 3T3-GFP cells (tumor cell),3,0.88,249,18.9,0,1,1,0,0,1,0,0,0
pulmonary endothelium cells (other cell),3,0.75,96.8,26.5,0,0,0,0,1,0,1,0,0
HSC-3 cells (tumor cell),3,0.78,187,56.3,1,0,1,0,0,0,1,0,0
HeLa-Luc cells (tumor cell),3,0.95,82.1,-1.5,0,0,1,0,0,1,0,0,0
B16F10-luc cells (tumor cell),1,0,100,15,0,0,1,0,0,0,1,0,0
E.A.Hy926 cells (other cell),1,0.35,280,24,0,0,0,0,1,0,1,0,0
MCF7-GFP cells (tumor cell),3,0.76,30,8,1,0,1,0,0,0,0,0,1
GBM319-GFP cells (tumor cell),3,0.83,204,-0.8,0,1,1,0,0,0,1,0,0
B16F10-luc cells (tumor cell),3,0.7,160,35,0,0,1,0,0,0,1,0,0
NCI-H292  cells (tumor cell),3,0.97,30,15,0,0,1,0,0,0,0,1,0
human mesenchymal stem cells (other cell),3,0.8,70,12,0,1,0,0,1,0,1,0,0
SVR-bag4 cells (other cell),2,0.45,15,30.7,1,0,0,0,1,0,0,0,1
PC3 cells (tumor cell),3,0.9,120,5.96,0,0,1,0,0,1,0,0,0
SK-HEP-1-Luc cells (tumor cell),2,0.4,109,2.07,0,0,1,0,0,1,0,0,0
ARPE-19 cells (other cell),3,0.6,251.6,28.8,0,0,0,0,1,1,0,0,0
B16F10-luc cells (tumor cell),2,0.52,150,37,1,0,1,0,0,0,1,0,0
MDA-MB-435s-GFP cells (tumor cell),2,0.58,18.2,12,0,0,1,0,0,0,0,0,1
human skin explants (other cell),1,0.32,230,40,0,0,0,0,1,0,1,0,0
HeLa cells (tumor cell),1,0.15,10,52,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cell),1,0.15,10,50,0,0,1,0,0,0,1,0,0
Neuro-2A-Luc cells (tumor cell),2,0.55,68.1,49.4,1,0,1,0,0,1,0,0,0
S2 cells (other cell),3,0.6,225,-35,0,0,0,0,1,0,1,0,0
Hela-GFP cells (tumor cell),3,0.9,60,1.8,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),1,0.08,7.5,50,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cell),3,0.8,193,30.7,1,0,1,0,0,0,1,0,0
A549 cells (tumor cell),3,0.9,182.7,17.5,0,0,1,0,0,0,1,0,0
B16F10-luc cells (tumor cell),3,0.9,290,2.7,0,0,1,0,0,0,1,0,0
HeLa-Luc cells (tumor cell),1,0.38,79.6,-1.5,0,0,1,0,0,1,0,0,0
SW480 cells (tumor cell),3,0.7,350,15,1,0,1,0,0,0,0,0,1
HeLa cells (tumor cell),3,0.65,460,22.8,0,0,1,0,0,0,1,0,0
PC-3 cells (tumor cell),3,0.91,213.5,-20.9,0,0,1,0,0,1,0,0,0
BHK cells (other cell),1,0.25,72,1.8,0,0,0,0,1,1,0,0,0
MDA MB-231 cells (tumor cell),3,0.68,6,3.4,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cell),3,0.6,180,12,0,0,1,0,0,0,1,0,0
293Td2GFP cells (other cell),3,0.6,180,29,0,0,0,0,1,0,0,1,0
HMEC-1 cells (other cell),2,0.5,150,24,0,0,0,0,1,0,0,1,0
HeLa cells (tumor cell),3,0.83,148,17.1,1,0,1,0,0,0,0,0,1
GBM319-GFP cells (tumor cell),1,0.37,207,22,0,0,1,0,0,0,1,0,0
Hela-GFP cells (tumor cell),3,0.85,200,2.54,0,0,1,0,0,0,0,0,1
HepG2 cells (tumor cell) ,2,0.55,45,21,0,0,1,0,0,0,1,0,0
L929 cells (other cell),1,0.32,160,7,0,1,0,0,1,0,1,0,0
HeLa cells (tumor cell),1,0.05,1.5,37,0,0,1,0,0,0,1,0,0
DC2.4 cells (immune cell),1,0.32,280,40,0,1,0,1,0,1,0,0,0
HEK293T-dluc cells (other cell),1,0.3,150,-7,0,0,0,0,1,1,0,0,0
Hep3B cells (tumor cell),3,0.9,178,12,1,0,1,0,0,0,0,0,1
HeLa cells (tumor cell),3,0.7,80,-12.2,0,0,1,0,0,0,1,0,0
KB-V1 cells (tumor cells),2,0.59,107.3,-12.5,0,0,1,0,0,1,0,0,0
H1299-GFP cells (tumor cell),2,0.49,52.4,10.74,0,0,1,0,0,0,0,0,1
BMDCs (immune cell),2,0.55,172.3,-31.78,0,0,0,1,0,0,1,0,0
